viaje_id,fecha,hora_salida,origen,destino,distancia_km,tipo_ruta,condicion_climatica,nivel_trafico,tipo_vehiculo,cantidad_paradas,es_hora_pico,es_fin_de_semana,carga_kg,tiene_refrigeracion,eta_horas,eta_minutos
VJ-10019,2023-03-06,07:00,Buenos Aires,Cordoba,571.2,urbana,lluvia_leve,muy_alto,camion_mediano,4,1,0,1802,0,47.6122,2857
VJ-10020,2024-02-09,04:00,San Miguel,CABA,341.8,autopista,granizo,bajo,camion_grande,3,0,0,10330,0,7.6418,459
VJ-10021,2023-03-25,02:00,San Miguel,CABA,194.1,urbana,despejado,bajo,camion_grande,2,0,0,12608,0,7.0255,422
VJ-10022,2022-05-18,09:00,Quilmes,San Isidro,938.3,autopista,lluvia_leve,muy_alto,camion_pequeno,4,1,0,3894,0,28.5287,1712
VJ-10023,2022-02-22,08:00,Buenos Aires,Cordoba,293.0,autopista,despejado,moderado,camion_grande,5,1,0,8728,0,5.1548,309
VJ-10024,2023-07-29,05:00,Buenos Aires,Mendoza,895.6,autopista,despejado,moderado,camion_mediano,2,0,0,18577,0,12.9379,776
VJ-10025,2022-08-04,09:00,Lanus,San Martin,607.4,rural,lluvia_leve,muy_alto,camion_mediano,0,1,0,1807,0,26.0464,1563
VJ-10026,2022-07-01,04:00,Moron,Palermo,1363.6,urbana,despejado,moderado,semi_trailer,5,0,0,8257,0,68.9001,4134
VJ-10027,2022-08-16,03:00,Cordoba,Mendoza,380.9,mixta,niebla,alto,camion_mediano,5,0,0,1768,0,16.4725,988
VJ-10028,2024-03-02,06:00,Lanus,San Martin,319.9,mixta,despejado,alto,camion_mediano,5,0,0,9629,0,10.8528,651
VJ-10029,2022-11-18,01:00,Tigre,Ezeiza,258.2,autopista,granizo,bajo,camion_grande,2,0,1,14739,0,4.8805,293
VJ-10030,2024-01-30,00:00,Tucuman,Cordoba,71.7,urbana,despejado,moderado,camion_grande,3,0,0,18143,0,4.0967,246
VJ-10031,2023-12-15,16:00,Moron,Palermo,1010.5,autopista,lluvia_leve,alto,camion_pequeno,2,0,0,13882,0,19.9433,1197
VJ-10032,2022-08-04,12:00,Buenos Aires,Cordoba,865.6,rural,despejado,muy_alto,camion_mediano,2,0,0,513,0,29.2157,1753
VJ-10033,2023-10-11,05:00,Santa Fe,Buenos Aires,1113.3,mixta,despejado,bajo,semi_trailer,5,0,0,9799,0,26.1051,1566
VJ-10034,2022-03-16,07:00,Buenos Aires,Rosario,214.8,rural,lluvia_leve,moderado,camion_mediano,0,1,0,20530,0,4.6172,277
VJ-10035,2022-02-21,13:00,Quilmes,San Isidro,1250.8,mixta,despejado,bajo,camion_pequeno,0,0,1,23303,0,20.5427,1233
VJ-10036,2023-07-16,19:00,Lanus,San Martin,1330.6,urbana,despejado,muy_alto,camion_grande,3,1,0,17040,0,113.4277,6806
VJ-10037,2024-01-01,15:00,Santa Fe,Buenos Aires,1074.5,autopista,lluvia_fuerte,alto,camion_grande,4,0,0,9498,0,31.6394,1898
VJ-10038,2023-02-22,22:00,Rosario,Cordoba,219.7,autopista,despejado,moderado,camion_mediano,3,0,1,7510,1,3.637,218
VJ-10039,2023-02-04,12:00,Tigre,Ezeiza,1200.9,mixta,despejado,alto,camion_pequeno,4,0,0,12026,0,36.4992,2190
VJ-10040,2023-11-27,13:00,Tigre,Ezeiza,688.6,mixta,lluvia_leve,alto,camion_mediano,2,0,0,13242,0,24.0911,1445
VJ-10041,2023-04-18,00:00,Lanus,San Martin,832.7,rural,granizo,moderado,semi_trailer,5,0,1,14544,1,26.7828,1607
VJ-10042,2022-03-25,08:00,Rosario,Cordoba,1068.1,mixta,despejado,alto,camion_grande,3,1,0,14313,0,36.9908,2219
VJ-10043,2022-05-10,06:00,Cordoba,Mendoza,1058.4,rural,lluvia_leve,alto,camion_pequeno,1,0,0,20859,1,27.0822,1625
VJ-10044,2022-04-21,23:00,Buenos Aires,Rosario,243.2,rural,despejado,moderado,camion_grande,4,0,0,5866,0,6.6303,398
VJ-10045,2023-09-07,07:00,Lanus,San Martin,833.0,mixta,despejado,muy_alto,camion_pequeno,5,1,1,10382,0,36.8918,2214
VJ-10046,2022-04-19,10:00,Lomas de Zamora,Pilar,105.8,urbana,despejado,moderado,camion_grande,5,0,1,14264,0,5.5379,332
VJ-10047,2022-11-27,15:00,Santa Fe,Buenos Aires,866.1,rural,despejado,alto,camion_grande,4,0,0,24454,0,26.8013,1608
VJ-10048,2022-07-06,12:00,Tigre,Ezeiza,802.1,urbana,despejado,moderado,semi_trailer,5,0,0,16697,0,36.5289,2192
VJ-10049,2023-10-24,13:00,Rosario,Cordoba,129.0,autopista,lluvia_leve,moderado,camion_mediano,5,0,0,8374,0,3.8615,232
VJ-10050,2024-02-03,11:00,Santa Fe,Buenos Aires,435.6,urbana,despejado,bajo,camion_mediano,4,0,0,17897,0,13.3958,804
VJ-10051,2022-10-11,22:00,Rosario,Cordoba,176.2,autopista,despejado,alto,camion_grande,4,0,1,7590,0,5.0154,301
VJ-10052,2022-02-16,09:00,Lomas de Zamora,Pilar,326.2,autopista,granizo,muy_alto,camion_grande,1,1,1,18002,1,13.1638,790
VJ-10053,2023-05-05,10:00,Buenos Aires,Cordoba,662.5,mixta,despejado,bajo,camion_grande,3,0,1,2183,0,13.7938,828
VJ-10054,2024-02-22,09:00,Buenos Aires,Rosario,220.9,mixta,despejado,alto,camion_pequeno,4,1,1,8632,1,7.2711,436
VJ-10055,2024-02-21,01:00,Lomas de Zamora,Pilar,434.5,mixta,despejado,moderado,semi_trailer,4,0,0,24751,1,12.9261,776
VJ-10056,2022-10-26,00:00,Buenos Aires,Mar del Plata,777.3,autopista,lluvia_leve,bajo,camion_mediano,1,0,0,23089,0,8.987,539
VJ-10057,2023-07-12,18:00,Tigre,Ezeiza,1105.1,mixta,despejado,moderado,camion_grande,5,1,0,6982,0,30.7074,1842
VJ-10058,2023-04-25,23:00,Buenos Aires,Cordoba,1111.8,autopista,niebla,bajo,camion_mediano,4,0,0,9957,0,15.1696,910
VJ-10059,2023-08-13,08:00,Tucuman,Cordoba,1031.0,mixta,despejado,alto,semi_trailer,4,1,1,8001,0,35.1967,2112
VJ-10060,2023-03-23,14:00,Buenos Aires,La Plata,664.0,autopista,lluvia_leve,alto,camion_mediano,5,0,0,6447,0,14.1309,848
VJ-10061,2023-07-18,15:00,Cordoba,Mendoza,468.4,mixta,despejado,alto,camion_mediano,5,0,0,13622,0,15.5,930
VJ-10062,2022-07-12,21:00,Buenos Aires,Rosario,1212.2,autopista,despejado,bajo,semi_trailer,0,0,0,15638,0,14.3861,863
VJ-10063,2022-09-03,15:00,Santa Fe,Buenos Aires,619.0,urbana,despejado,moderado,camion_grande,5,0,1,21144,0,25.3173,1519
VJ-10064,2022-10-26,20:00,Rosario,Cordoba,651.4,urbana,lluvia_leve,bajo,camion_pequeno,0,0,0,16830,0,19.8059,1188
VJ-10065,2023-03-01,23:00,Santa Fe,Buenos Aires,1291.4,rural,despejado,bajo,camion_mediano,4,0,0,2787,0,21.7981,1308
VJ-10066,2023-05-11,21:00,Lomas de Zamora,Pilar,1174.1,autopista,niebla,moderado,camion_grande,4,0,0,5369,0,20.6945,1242
VJ-10067,2023-01-26,13:00,Santa Fe,Buenos Aires,804.8,autopista,niebla,muy_alto,camion_mediano,1,0,1,24902,0,25.501,1530
VJ-10068,2022-05-28,03:00,Moron,Palermo,1218.9,rural,despejado,bajo,camion_grande,3,0,0,15472,1,19.965,1198
VJ-10069,2024-02-17,17:00,Santa Fe,Buenos Aires,1194.0,autopista,despejado,muy_alto,camion_pequeno,5,1,0,10876,0,29.3503,1761
VJ-10070,2023-12-22,02:00,Tucuman,Cordoba,1396.4,urbana,lluvia_leve,bajo,camion_grande,5,0,0,3725,0,48.1345,2888
VJ-10071,2022-07-04,04:00,Lanus,San Martin,508.3,urbana,despejado,alto,camion_grande,3,0,1,14002,0,28.6067,1716
VJ-10072,2023-04-22,08:00,Buenos Aires,Rosario,332.7,mixta,lluvia_leve,moderado,camion_mediano,5,1,0,22351,1,10.6109,637
VJ-10073,2022-04-20,09:00,Santa Fe,Buenos Aires,969.5,autopista,granizo,alto,semi_trailer,3,1,1,13105,0,30.9839,1859
VJ-10074,2024-03-07,12:00,San Miguel,CABA,40.5,autopista,lluvia_leve,muy_alto,camion_grande,5,0,1,19044,0,3.3729,202
VJ-10075,2023-11-29,19:00,Santa Fe,Buenos Aires,314.4,autopista,lluvia_fuerte,moderado,camion_grande,1,1,1,24123,0,6.6332,398
VJ-10076,2022-10-30,18:00,Moron,Palermo,1106.2,urbana,niebla,alto,camion_grande,0,1,0,4806,1,72.4379,4346
VJ-10077,2023-04-25,09:00,Lomas de Zamora,Pilar,367.2,autopista,lluvia_leve,muy_alto,camion_mediano,3,1,0,11599,0,11.9717,718
VJ-10078,2023-07-04,11:00,Buenos Aires,Cordoba,1354.5,rural,niebla,alto,semi_trailer,4,0,1,13429,1,49.2855,2957
VJ-10079,2023-09-17,00:00,Rosario,Cordoba,948.0,mixta,niebla,muy_alto,camion_pequeno,3,0,0,18896,0,57.355,3441
VJ-10080,2022-08-29,01:00,Buenos Aires,Rosario,172.2,mixta,niebla,moderado,semi_trailer,0,0,0,16642,1,6.5442,393
VJ-10081,2023-01-15,19:00,Moron,Palermo,920.3,mixta,lluvia_leve,muy_alto,semi_trailer,3,1,0,9666,1,63.2518,3795
VJ-10082,2022-05-06,11:00,Santa Fe,Buenos Aires,766.8,rural,niebla,bajo,camion_grande,5,0,1,9540,1,17.9879,1079
VJ-10083,2022-08-10,02:00,Buenos Aires,Mar del Plata,1103.9,urbana,despejado,moderado,camion_mediano,1,0,0,18660,0,38.911,2335
VJ-10084,2022-01-27,04:00,Buenos Aires,Mar del Plata,395.4,autopista,lluvia_fuerte,alto,camion_pequeno,1,0,0,6217,1,8.4136,505
VJ-10085,2023-01-06,03:00,San Miguel,CABA,1041.0,autopista,despejado,moderado,camion_mediano,4,0,0,16105,0,15.493,930
VJ-10086,2022-03-04,16:00,Buenos Aires,Rosario,1020.9,mixta,lluvia_leve,muy_alto,camion_pequeno,5,0,0,21580,0,54.2931,3258
VJ-10087,2023-07-16,02:00,Buenos Aires,Rosario,457.7,mixta,lluvia_fuerte,moderado,camion_pequeno,1,0,1,20957,0,13.4394,806
VJ-10088,2022-08-09,20:00,Buenos Aires,Mendoza,1112.4,autopista,despejado,moderado,camion_pequeno,0,0,0,18566,0,13.8693,832
VJ-10089,2023-05-01,08:00,Tigre,Ezeiza,603.2,mixta,despejado,muy_alto,camion_grande,5,1,0,5501,0,30.5602,1834
VJ-10090,2023-11-18,01:00,Tigre,Ezeiza,1138.4,urbana,despejado,bajo,camion_grande,4,0,0,18902,0,35.2934,2118
VJ-10091,2023-05-09,03:00,Lomas de Zamora,Pilar,844.6,mixta,niebla,alto,camion_grande,2,0,0,7471,1,39.6232,2377
VJ-10092,2023-10-21,17:00,Buenos Aires,Rosario,808.0,autopista,niebla,alto,camion_grande,3,1,0,20872,0,18.9617,1138
VJ-10093,2023-02-15,00:00,Quilmes,San Isidro,1290.9,autopista,despejado,moderado,camion_grande,2,0,1,5194,0,17.4604,1048
VJ-10094,2023-08-05,05:00,Quilmes,San Isidro,593.6,urbana,despejado,moderado,semi_trailer,2,0,0,24145,0,27.9257,1676
VJ-10095,2023-03-17,13:00,Lomas de Zamora,Pilar,685.1,urbana,lluvia_leve,moderado,semi_trailer,3,0,1,17288,1,34.7606,2086
VJ-10096,2024-02-25,01:00,Moron,Palermo,559.4,mixta,lluvia_leve,moderado,camion_mediano,4,0,1,10376,0,15.5303,932
VJ-10097,2022-03-15,16:00,Buenos Aires,La Plata,750.3,mixta,lluvia_fuerte,bajo,semi_trailer,1,0,0,22390,0,25.2797,1517
VJ-10098,2022-10-24,13:00,Quilmes,San Isidro,1208.3,urbana,despejado,moderado,camion_pequeno,4,0,0,23748,0,44.3574,2661
VJ-10099,2023-02-10,07:00,Lomas de Zamora,Pilar,617.0,mixta,niebla,muy_alto,camion_pequeno,0,1,0,13621,0,34.4815,2069
VJ-10100,2023-10-23,16:00,Quilmes,San Isidro,719.6,autopista,despejado,alto,camion_pequeno,0,0,0,11948,0,11.4555,687
VJ-10101,2023-04-05,15:00,Buenos Aires,Mar del Plata,256.2,rural,lluvia_leve,alto,camion_pequeno,5,0,0,18972,0,8.7549,525
VJ-10102,2022-12-27,14:00,Lanus,San Martin,621.3,autopista,niebla,moderado,camion_mediano,3,0,0,9500,0,10.7684,646
VJ-10103,2024-01-27,12:00,Buenos Aires,La Plata,864.9,autopista,niebla,bajo,camion_pequeno,4,0,0,18663,0,12.9226,775
VJ-10104,2022-03-28,03:00,Santa Fe,Buenos Aires,1341.2,rural,despejado,moderado,camion_mediano,3,0,0,11753,0,25.5098,1531
VJ-10105,2022-02-23,12:00,Santa Fe,Buenos Aires,528.3,mixta,lluvia_leve,moderado,camion_grande,2,0,0,11587,0,16.5825,995
VJ-10106,2022-12-08,21:00,Moron,Palermo,405.0,autopista,despejado,bajo,semi_trailer,5,0,0,20249,0,6.0442,363
VJ-10107,2024-01-27,20:00,Rosario,Cordoba,440.3,mixta,despejado,alto,camion_pequeno,3,0,0,4687,0,12.5997,756
VJ-10108,2023-05-13,05:00,Lanus,San Martin,35.3,urbana,lluvia_leve,moderado,camion_grande,2,0,0,11697,0,2.224,133
VJ-10109,2023-12-11,04:00,Rosario,Cordoba,930.1,urbana,lluvia_leve,moderado,camion_pequeno,4,0,0,5554,1,37.5668,2254
VJ-10110,2022-09-02,14:00,Lomas de Zamora,Pilar,950.1,rural,lluvia_fuerte,bajo,camion_grande,1,0,0,15210,0,21.7668,1306
VJ-10111,2022-07-24,12:00,Tigre,Ezeiza,651.7,rural,despejado,muy_alto,semi_trailer,2,0,0,14218,0,28.0818,1685
VJ-10112,2024-02-21,22:00,Buenos Aires,Cordoba,780.8,autopista,despejado,moderado,camion_grande,0,0,0,4585,0,10.1028,606
VJ-10113,2023-01-31,13:00,Tigre,Ezeiza,1239.6,mixta,despejado,muy_alto,semi_trailer,0,0,1,16949,0,72.0197,4321
VJ-10114,2022-05-23,01:00,Cordoba,Mendoza,1110.0,rural,despejado,muy_alto,camion_grande,1,0,0,15981,0,40.8647,2452
VJ-10115,2022-09-01,19:00,Lanus,San Martin,772.8,urbana,despejado,moderado,camion_mediano,5,1,0,4143,0,29.5927,1776
VJ-10116,2022-09-05,19:00,Buenos Aires,La Plata,97.3,rural,despejado,muy_alto,semi_trailer,3,1,0,21207,0,5.5211,331
VJ-10117,2023-06-04,02:00,Cordoba,Mendoza,737.6,rural,lluvia_leve,bajo,camion_pequeno,2,0,0,18328,0,12.1625,730
VJ-10118,2023-11-04,11:00,Buenos Aires,Mendoza,362.6,mixta,despejado,moderado,camion_grande,0,0,0,11798,0,9.2772,557
VJ-10119,2022-05-19,14:00,Cordoba,Mendoza,1164.2,rural,despejado,moderado,camion_mediano,5,0,0,16180,0,20.0875,1205
VJ-10120,2022-02-07,09:00,Lomas de Zamora,Pilar,1241.2,mixta,despejado,moderado,camion_mediano,2,1,0,18294,0,29.5857,1775
VJ-10121,2022-07-11,12:00,Lomas de Zamora,Pilar,1121.1,urbana,niebla,moderado,camion_pequeno,3,0,0,13169,0,52.5057,3150
VJ-10122,2022-11-25,13:00,Santa Fe,Buenos Aires,1020.6,autopista,granizo,moderado,camion_pequeno,0,0,0,6413,0,18.2507,1095
VJ-10123,2022-02-28,19:00,Santa Fe,Buenos Aires,68.9,mixta,despejado,alto,semi_trailer,2,1,0,9496,0,3.2556,195
VJ-10124,2022-03-10,19:00,Moron,Palermo,1334.4,mixta,despejado,muy_alto,camion_mediano,1,1,0,14858,1,58.8393,3530
VJ-10125,2023-10-28,18:00,San Miguel,CABA,527.1,urbana,lluvia_leve,muy_alto,camion_grande,0,1,1,12524,0,45.3989,2724
VJ-10126,2023-09-19,08:00,Buenos Aires,Rosario,1279.8,urbana,lluvia_fuerte,alto,semi_trailer,0,1,0,23569,0,112.1903,6731
VJ-10127,2023-07-10,10:00,Buenos Aires,Rosario,1396.2,rural,niebla,moderado,semi_trailer,5,0,0,23750,1,40.0994,2406
VJ-10128,2022-08-31,07:00,Rosario,Cordoba,1113.2,rural,lluvia_fuerte,muy_alto,camion_mediano,4,1,1,7085,0,61.0036,3660
VJ-10129,2023-02-24,22:00,Cordoba,Mendoza,101.4,mixta,niebla,moderado,camion_pequeno,3,0,0,17725,0,4.0931,246
VJ-10130,2022-07-06,11:00,Buenos Aires,Rosario,657.5,rural,granizo,moderado,semi_trailer,4,0,1,18565,0,25.2967,1518
VJ-10131,2022-03-22,22:00,Tigre,Ezeiza,238.9,urbana,niebla,moderado,camion_grande,2,0,1,17503,0,13.3792,803
VJ-10132,2023-10-02,18:00,Moron,Palermo,708.6,autopista,despejado,alto,camion_pequeno,1,1,0,5552,1,10.6171,637
VJ-10133,2023-10-17,08:00,San Miguel,CABA,1328.5,urbana,niebla,moderado,camion_pequeno,4,1,0,19247,0,54.8555,3291
VJ-10134,2022-06-11,12:00,Lanus,San Martin,1128.5,autopista,lluvia_leve,moderado,camion_mediano,5,0,0,2891,0,17.0729,1024
VJ-10135,2023-04-23,11:00,San Miguel,CABA,1365.8,rural,despejado,alto,camion_grande,1,0,0,3979,0,36.5515,2193
VJ-10136,2023-08-15,07:00,Santa Fe,Buenos Aires,1211.2,rural,despejado,moderado,semi_trailer,3,1,0,5733,0,28.5712,1714
VJ-10137,2022-12-28,16:00,Tucuman,Cordoba,135.2,mixta,despejado,moderado,camion_pequeno,3,0,0,8388,0,3.8017,228
VJ-10138,2024-02-22,03:00,Rosario,Cordoba,407.2,mixta,lluvia_leve,alto,semi_trailer,0,0,0,9166,0,17.8547,1071
VJ-10139,2022-05-02,08:00,Tucuman,Cordoba,710.9,rural,despejado,alto,semi_trailer,4,1,0,20922,0,22.376,1343
VJ-10140,2022-02-09,19:00,Buenos Aires,Rosario,1059.4,mixta,despejado,muy_alto,camion_grande,1,1,0,16886,1,51.9694,3118
VJ-10141,2022-11-03,05:00,Santa Fe,Buenos Aires,1304.6,rural,lluvia_leve,moderado,camion_grande,2,0,0,20701,0,31.8859,1913
VJ-10142,2024-01-13,03:00,Tucuman,Cordoba,522.0,mixta,lluvia_fuerte,moderado,camion_pequeno,5,0,0,19626,0,16.9416,1016
VJ-10143,2023-11-29,19:00,Rosario,Cordoba,738.7,rural,lluvia_fuerte,alto,camion_mediano,5,1,0,12958,1,24.4861,1469
VJ-10144,2024-01-24,06:00,San Miguel,CABA,220.5,urbana,despejado,moderado,semi_trailer,5,0,0,20536,0,11.6252,698
VJ-10145,2023-11-24,14:00,Tucuman,Cordoba,446.1,autopista,granizo,moderado,semi_trailer,1,0,0,11717,0,10.3797,623
VJ-10146,2023-12-23,07:00,Quilmes,San Isidro,397.8,autopista,lluvia_leve,moderado,camion_mediano,2,1,0,10252,0,6.1509,369
VJ-10147,2022-10-22,11:00,Cordoba,Mendoza,1255.1,autopista,despejado,moderado,semi_trailer,3,0,0,5299,0,19.9474,1197
VJ-10148,2022-04-22,08:00,Buenos Aires,Rosario,307.4,autopista,granizo,muy_alto,semi_trailer,4,1,0,23312,0,15.7065,942
VJ-10149,2023-07-18,03:00,Moron,Palermo,469.1,rural,lluvia_leve,bajo,semi_trailer,3,0,0,5004,1,10.635,638
VJ-10150,2024-02-27,09:00,Buenos Aires,Cordoba,673.7,mixta,lluvia_leve,muy_alto,semi_trailer,1,1,0,21664,1,40.8798,2453
VJ-10151,2022-10-24,12:00,Quilmes,San Isidro,1308.2,urbana,niebla,bajo,camion_mediano,0,0,0,6605,0,46.321,2779
VJ-10152,2023-04-25,17:00,Buenos Aires,La Plata,405.5,autopista,lluvia_leve,moderado,camion_grande,5,1,0,4897,0,8.0471,483
VJ-10153,2023-10-17,18:00,Quilmes,San Isidro,1033.9,mixta,lluvia_leve,muy_alto,camion_pequeno,2,1,0,6829,1,49.1697,2950
VJ-10154,2023-01-28,15:00,Tigre,Ezeiza,266.8,mixta,lluvia_leve,bajo,camion_pequeno,1,0,0,8628,1,5.5655,334
VJ-10155,2023-12-22,14:00,Rosario,Cordoba,96.4,urbana,despejado,moderado,camion_mediano,0,0,0,13784,0,2.9303,176
VJ-10156,2023-09-13,04:00,Quilmes,San Isidro,864.3,urbana,lluvia_leve,muy_alto,camion_grande,1,0,0,15408,0,75.2015,4512
VJ-10157,2023-07-15,22:00,Lomas de Zamora,Pilar,740.5,rural,lluvia_fuerte,alto,camion_pequeno,4,0,0,18986,1,22.0927,1326
VJ-10158,2023-04-02,22:00,Buenos Aires,Mar del Plata,171.6,rural,despejado,alto,semi_trailer,1,0,0,3479,0,5.1668,310
VJ-10159,2022-03-16,08:00,Santa Fe,Buenos Aires,1015.4,urbana,lluvia_leve,muy_alto,camion_grande,3,1,0,24938,0,94.2555,5655
VJ-10160,2024-02-24,01:00,Cordoba,Mendoza,1380.7,urbana,lluvia_leve,bajo,camion_pequeno,3,0,0,6397,0,42.9719,2578
VJ-10161,2022-12-23,21:00,Cordoba,Mendoza,532.1,mixta,despejado,muy_alto,semi_trailer,5,0,0,4857,0,26.9681,1618
VJ-10162,2023-06-29,09:00,Tucuman,Cordoba,1170.4,mixta,lluvia_leve,muy_alto,camion_mediano,0,1,0,24063,0,60.9681,3658
VJ-10163,2022-03-10,13:00,Buenos Aires,Cordoba,54.8,autopista,despejado,alto,camion_pequeno,5,0,0,1012,0,2.2783,137
VJ-10164,2024-03-05,12:00,Buenos Aires,La Plata,350.2,mixta,lluvia_leve,alto,camion_pequeno,0,0,0,18186,0,10.9157,655
VJ-10165,2022-03-04,21:00,Tigre,Ezeiza,339.3,autopista,lluvia_leve,alto,camion_grande,1,0,0,14051,0,7.4928,450
VJ-10166,2023-03-03,20:00,San Miguel,CABA,75.2,rural,lluvia_leve,moderado,semi_trailer,2,0,0,17685,0,2.5483,153
VJ-10167,2022-05-18,17:00,Tucuman,Cordoba,1130.0,mixta,despejado,moderado,camion_mediano,0,1,0,14148,0,26.6163,1597
VJ-10168,2023-01-22,17:00,Rosario,Cordoba,1187.5,rural,despejado,moderado,semi_trailer,0,1,0,6741,1,23.925,1436
VJ-10169,2024-02-12,06:00,Buenos Aires,Mar del Plata,431.4,rural,despejado,alto,camion_grande,0,0,0,24796,1,10.5735,634
VJ-10170,2023-01-04,14:00,Buenos Aires,Mar del Plata,1088.0,rural,despejado,bajo,camion_grande,3,0,0,12272,0,17.8554,1071
VJ-10171,2022-01-17,01:00,Quilmes,San Isidro,525.3,mixta,lluvia_fuerte,moderado,camion_mediano,3,0,0,7750,0,17.4957,1050
VJ-10172,2024-02-21,15:00,Lanus,San Martin,538.0,mixta,despejado,bajo,camion_mediano,1,0,0,22941,0,11.0185,661
VJ-10173,2022-03-02,15:00,Santa Fe,Buenos Aires,204.5,mixta,despejado,alto,camion_mediano,4,0,1,18264,0,7.5048,450
VJ-10174,2023-06-02,07:00,Tigre,Ezeiza,583.2,urbana,granizo,muy_alto,camion_pequeno,5,1,1,5448,1,67.5889,4055
VJ-10175,2023-12-16,23:00,Lanus,San Martin,26.5,mixta,lluvia_leve,bajo,semi_trailer,4,0,1,9894,1,2.2453,135
VJ-10176,2023-02-11,16:00,Lomas de Zamora,Pilar,344.9,rural,despejado,bajo,camion_mediano,4,0,1,12114,0,6.3074,378
VJ-10177,2023-05-03,01:00,Buenos Aires,Mar del Plata,918.7,rural,despejado,alto,camion_pequeno,5,0,1,12927,0,21.7878,1307
VJ-10178,2023-12-10,16:00,Buenos Aires,La Plata,796.5,rural,despejado,alto,camion_grande,0,0,0,8028,0,20.6856,1241
VJ-10179,2023-12-31,00:00,Buenos Aires,Rosario,259.3,autopista,niebla,moderado,camion_pequeno,2,0,0,19735,1,4.7972,288
VJ-10180,2023-12-07,10:00,Lanus,San Martin,951.1,urbana,despejado,moderado,semi_trailer,4,0,0,24739,1,37.1446,2229
VJ-10181,2022-10-07,19:00,Buenos Aires,La Plata,851.2,urbana,despejado,muy_alto,camion_grande,4,1,0,11194,1,69.1277,4148
VJ-10182,2022-10-30,18:00,Santa Fe,Buenos Aires,610.3,mixta,despejado,alto,semi_trailer,5,1,0,3308,0,25.0336,1502
VJ-10183,2024-02-19,02:00,Buenos Aires,Cordoba,450.2,mixta,lluvia_fuerte,moderado,semi_trailer,0,0,1,10601,0,17.3344,1040
VJ-10184,2022-11-29,11:00,Buenos Aires,Cordoba,153.6,urbana,despejado,moderado,semi_trailer,0,0,0,20060,0,7.2811,437
VJ-10185,2022-10-02,21:00,Lomas de Zamora,Pilar,805.0,urbana,lluvia_fuerte,moderado,camion_mediano,1,0,0,5049,0,40.471,2428
